Country (or dependency),Population,Yearly,Net,Density,Land Area,Migrants,Fert.,Med.,Urban,World
Spain,46754778,0.0004,18002,94,498800,40000,1.3,45,0.8,0.006
Uganda,45741007,0.0332,1471413,229,199810,168694,5,17,0.26,0.0059
Argentina,45195774,0.0093,415097,17,2736690,4800,2.3,32,0.93,0.0058
Algeria,43851044,0.0185,797990,18,2381740,-10000,3.1,29,0.73,0.0056
Sudan,43849260,0.0242,1036022,25,1765048,-50000,4.4,20,0.35,0.0056
Ukraine,43733762,-0.0059,-259876,75,579320,10000,1.4,41,0.69,0.0056
Iraq,40222493,0.0232,912710,93,434320,7834,3.7,21,0.73,0.0052
Afghanistan,38928346,0.0233,886592,60,652860,-62920,4.6,18,0.25,0.005
Poland,37846611,-0.0011,-41157,124,306230,-29395,1.4,42,0.6,0.0049
Canada,37742154,0.0089,331107,4,9093510,242032,1.5,41,0.81,0.0048
Morocco,36910560,0.012,438791,83,446300,-51419,2.4,30,0.64,0.0047
Saudi Arabia,34813871,0.0159,545343,16,2149690,134979,2.3,32,0.84,0.0045
Uzbekistan,33469203,0.0148,487487,79,425400,-8863,2.4,28,0.5,0.0043
Peru,32971854,0.0142,461401,26,1280000,99069,2.3,31,0.79,0.0042
Angola,32866272,0.0327,1040977,26,1246700,6413,5.6,17,0.67,0.0042
Malaysia,32365999,0.013,416222,99,328550,50000,2,30,0.78,0.0042
Mozambique,31255435,0.0293,889399,40,786380,-5000,4.9,18,0.38,0.004
Ghana,31072940,0.0215,655084,137,227540,-10000,3.9,22,0.57,0.004
Yemen,29825964,0.0228,664042,56,527970,-30000,3.8,20,0.38,0.0038
Nepal,29136808,0.0185,528098,203,143350,41710,1.9,25,0.21,0.0037
Venezuela,28435940,-0.0028,-79889,32,882050,-653249,2.3,30,N.A.,0.0036
Madagascar,27691018,0.0268,721711,48,581795,-1500,4.1,20,0.39,0.0036
Cameroon,26545863,0.0259,669483,56,472710,-4800,4.6,19,0.56,0.0034
Côte d'Ivoire,26378274,0.0257,661730,83,318000,-8000,4.7,19,0.51,0.0034
North Korea,25778816,0.0044,112655,214,120410,-5403,1.9,35,0.63,0.0033
Australia,25499884,0.0118,296686,3,7682300,158246,1.8,38,0.86,0.0033
Niger,24206644,0.0384,895929,19,1266700,4000,7,15,0.17,0.0031
Taiwan,23816775,0.0018,42899,673,35410,30001,1.2,42,0.79,0.0031
Sri Lanka,21413249,0.0042,89516,341,62710,-97986,2.2,34,0.18,0.0027
Burkina Faso,20903273,0.0286,581895,76,273600,-25000,5.2,18,0.31,0.0027
Mali,20250833,0.0302,592802,17,1220190,-40000,5.9,16,0.44,0.0026
Romania,19237691,-0.0066,-126866,84,230170,-73999,1.6,43,0.55,0.0025
Malawi,19129952,0.0269,501205,203,94280,-16053,4.3,18,0.18,0.0025
Chile,19116201,0.0087,164163,26,743532,111708,1.7,35,0.85,0.0025
Kazakhstan,18776707,0.0121,225280,7,2699700,-18000,2.8,31,0.58,0.0024
Zambia,18383955,0.0293,522925,25,743390,-8000,4.7,18,0.45,0.0024
Guatemala,17915568,0.019,334096,167,107160,-9215,2.9,23,0.52,0.0023
Ecuador,17643054,0.0155,269392,71,248360,36400,2.4,28,0.63,0.0023
Syria,17500658,0.0252,430523,95,183630,-427391,2.8,26,0.6,0.0022
Netherlands,17134872,0.0022,37742,508,33720,16000,1.7,43,0.92,0.0022
Senegal,16743927,0.0275,447563,87,192530,-20000,4.7,19,0.49,0.0021
Cambodia,16718965,0.0141,232423,95,176520,-30000,2.5,26,0.24,0.0021
Chad,16425864,0.03,478988,13,1259200,2000,5.8,17,0.23,0.0021
Somalia,15893222,0.0292,450317,25,627340,-40000,6.1,17,0.47,0.002
Zimbabwe,14862924,0.0148,217456,38,386850,-116858,3.6,19,0.38,0.0019
Guinea,13132795,0.0283,361549,53,245720,-4000,4.7,18,0.39,0.0017
Rwanda,12952218,0.0258,325268,525,24670,-9000,4.1,20,0.18,0.0017
Benin,12123200,0.0273,322049,108,112760,-2000,4.9,19,0.48,0.0016
Burundi,11890784,0.0312,360204,463,25680,2001,5.5,17,0.14,0.0015
Tunisia,11818619,0.0106,123900,76,155360,-4000,2.2,33,0.7,0.0015
Bolivia,11673021,0.0139,159921,11,1083300,-9504,2.8,26,0.69,0.0015
Belgium,11589623,0.0044,50295,383,30280,48000,1.7,42,0.98,0.0015
Haiti,11402528,0.0124,139451,414,27560,-35000,3,24,0.57,0.0015
Cuba,11326616,-0.0006,-6867,106,106440,-14400,1.6,42,0.78,0.0015
South Sudan,11193725,0.0119,131612,18,610952,-174200,4.7,19,0.25,0.0014
Dominican Republic,10847910,0.0101,108952,225,48320,-30000,2.4,28,0.85,0.0014
Czechia,10708981,0.0018,19772,139,77240,22011,1.6,43,0.74,0.0014
Greece,10423054,-0.0048,-50401,81,128900,-16000,1.3,46,0.85,0.0013
Jordan,10203134,0.01,101440,115,88780,10220,2.8,24,0.91,0.0013
Portugal,10196709,-0.0029,-29478,111,91590,-6000,1.3,46,0.66,0.0013
Azerbaijan,10139177,0.0091,91459,123,82658,1200,2.1,32,0.56,0.0013
Sweden,10099265,0.0063,62886,25,410340,40000,1.9,41,0.88,0.0013
Honduras,9904607,0.0163,158490,89,111890,-6800,2.5,24,0.57,0.0013
United Arab Emirates,9890402,0.0123,119873,118,83600,40000,1.4,33,0.86,0.0013
Hungary,9660351,-0.0025,-24328,107,90530,6000,1.5,43,0.72,0.0012
Tajikistan,9537645,0.0232,216627,68,139960,-20000,3.6,22,0.27,0.0012
Belarus,9449323,-0.0003,-3088,47,202910,8730,1.7,40,0.79,0.0012
Austria,9006398,0.0057,51296,109,82409,65000,1.5,43,0.57,0.0012
Papua New Guinea,8947024,0.0195,170915,20,452860,-800,3.6,22,0.13,0.0011
Serbia,8737371,-0.004,-34864,100,87460,4000,1.5,42,0.56,0.0011
Israel,8655535,0.016,136158,400,21640,10000,3,30,0.93,0.0011
Switzerland,8654622,0.0074,63257,219,39516,52000,1.5,43,0.74,0.0011
Togo,8278724,0.0243,196358,152,54390,-2000,4.4,19,0.43,0.0011
Sierra Leone,7976983,0.021,163768,111,72180,-4200,4.3,19,0.43,0.001
Hong Kong,7496981,0.0082,60827,7140,1050,29308,1.3,45,N.A.,0.001
Laos,7275560,0.0148,106105,32,230800,-14704,2.7,24,0.36,0.0009
Paraguay,7132538,0.0125,87902,18,397300,-16556,2.4,26,0.62,0.0009
Bulgaria,6948445,-0.0074,-51674,64,108560,-4800,1.6,45,0.76,0.0009
Libya,6871292,0.0138,93840,4,1759540,-1999,2.3,29,0.78,0.0009
Lebanon,6825445,-0.0044,-30268,667,10230,-30012,2.1,30,0.78,0.0009
Nicaragua,6624554,0.0121,79052,55,120340,-21272,2.4,26,0.57,0.0008
Kyrgyzstan,6524195,0.0169,108345,34,191800,-4000,3,26,0.36,0.0008
El Salvador,6486205,0.0051,32652,313,20720,-40539,2.1,28,0.73,0.0008
Turkmenistan,6031200,0.015,89111,13,469930,-5000,2.8,27,0.53,0.0008
Singapore,5850342,0.0079,46005,8358,700,27028,1.2,42,N.A.,0.0008
Denmark,5792202,0.0035,20326,137,42430,15200,1.8,42,0.88,0.0007
Finland,5540720,0.0015,8564,18,303890,14000,1.5,43,0.86,0.0007
Congo,5518087,0.0256,137579,16,341500,-4000,4.5,19,0.7,0.0007
Slovakia,5459642,0.0005,2629,114,48088,1485,1.5,41,0.54,0.0007
Norway,5421241,0.0079,42384,15,365268,28000,1.7,40,0.83,0.0007
Oman,5106626,0.0265,131640,16,309500,87400,2.9,31,0.87,0.0007
State of Palestine,5101414,0.0241,119994,847,6020,-10563,3.7,21,0.8,0.0007
Costa Rica,5094118,0.0092,46557,100,51060,4200,1.8,33,0.8,0.0007
Liberia,5057681,0.0244,120307,53,96320,-5000,4.4,19,0.53,0.0006
Ireland,4937786,0.0113,55291,72,68890,23604,1.8,38,0.63,0.0006
Central African Republic,4829767,0.0178,84582,8,622980,-40000,4.8,18,0.43,0.0006
New Zealand,4822233,0.0082,39170,18,263310,14881,1.9,38,0.87,0.0006
Mauritania,4649658,0.0274,123962,5,1030700,5000,4.6,20,0.57,0.0006
Panama,4314767,0.0161,68328,58,74340,11200,2.5,30,0.68,0.0006
Kuwait,4270571,0.0151,63488,240,17820,39520,2.1,37,N.A.,0.0005
Croatia,4105267,-0.0061,-25037,73,55960,-8001,1.4,44,0.58,0.0005
Moldova,4033963,-0.0023,-9300,123,32850,-1387,1.3,38,0.43,0.0005
Georgia,3989167,-0.0019,-7598,57,69490,-10000,2.1,38,0.58,0.0005
Eritrea,3546421,0.0141,49304,35,101000,-39858,4.1,19,0.63,0.0005
Uruguay,3473730,0.0035,11996,20,175020,-3000,2,36,0.96,0.0004
Bosnia and Herzegovina,3280819,-0.0061,-20181,64,51000,-21585,1.3,43,0.52,0.0004
Mongolia,3278290,0.0165,53123,2,1553560,-852,2.9,28,0.67,0.0004
Armenia,2963243,0.0019,5512,104,28470,-4998,1.8,35,0.63,0.0004
Jamaica,2961167,0.0044,12888,273,10830,-11332,2,31,0.55,0.0004
Qatar,2881053,0.0173,48986,248,11610,40000,1.9,32,0.96,0.0004
Albania,2877797,-0.0011,-3120,105,27400,-14000,1.6,36,0.63,0.0004
Puerto Rico,2860853,-0.0247,-72555,323,8870,-97986,1.2,44,N.A.,0.0004
Lithuania,2722289,-0.0135,-37338,43,62674,-32780,1.7,45,0.71,0.0003
Namibia,2540905,0.0186,46375,3,823290,-4806,3.4,22,0.55,0.0003
Gambia,2416668,0.0294,68962,239,10120,-3087,5.3,18,0.59,0.0003
Botswana,2351627,0.0208,47930,4,566730,3000,2.9,24,0.73,0.0003
Gabon,2225734,0.0245,53155,9,257670,3260,4,23,0.87,0.0003
Lesotho,2142249,0.008,16981,71,30360,-10047,3.2,24,0.31,0.0003
North Macedonia,2083374,0,-85,83,25220,-1000,1.5,39,0.59,0.0003
Slovenia,2078938,0.0001,284,103,20140,2000,1.6,45,0.55,0.0003
Guinea-Bissau,1968001,0.0245,47079,70,28120,-1399,4.5,19,0.45,0.0003
Latvia,1886198,-0.0108,-20545,30,62200,-14837,1.7,44,0.69,0.0002
Bahrain,1701575,0.0368,60403,2239,760,47800,2,32,0.89,0.0002
Equatorial Guinea,1402985,0.0347,46999,50,28050,16000,4.6,22,0.73,0.0002
Trinidad and Tobago,1399488,0.0032,4515,273,5130,-800,1.7,36,0.52,0.0002
Estonia,1326535,0.0007,887,31,42390,3911,1.6,42,0.68,0.0002
Timor-Leste,1318445,0.0196,25326,89,14870,-5385,4.1,21,0.33,0.0002
Mauritius,1271768,0.0017,2100,626,2030,0,1.4,37,0.41,0.0002
Cyprus,1207359,0.0073,8784,131,9240,5000,1.3,37,0.67,0.0002
Eswatini,1160164,0.0105,12034,67,17200,-8353,3,21,0.3,0.0001
Djibouti,988000,0.0148,14440,43,23180,900,2.8,27,0.79,0.0001
Fiji,896445,0.0073,6492,49,18270,-6202,2.8,28,0.59,0.0001
Réunion,895312,0.0072,6385,358,2500,-1256,2.3,36,1,0.0001
Comoros,869601,0.022,18715,467,1861,-2000,4.2,20,0.29,0.0001
Guyana,786552,0.0048,3786,4,196850,-6000,2.5,27,0.27,0.0001
Bhutan,771608,0.0112,8516,20,38117,320,2,28,0.46,0.0001
Solomon Islands,686884,0.0255,17061,25,27990,-1600,4.4,20,0.23,0.0001
Macao,649335,0.0139,8890,21645,30,5000,1.2,39,N.A.,0.0001
Montenegro,628066,0.0001,79,47,13450,-480,1.8,39,0.68,0.0001
Luxembourg,625978,0.0166,10249,242,2590,9741,1.5,40,0.88,0.0001
Western Sahara,597339,0.0255,14876,2,266000,5582,2.4,28,0.87,0.0001
Suriname,586632,0.009,5260,4,156000,-1000,2.4,29,0.65,0.0001
Cabo Verde,555987,0.011,6052,138,4030,-1342,2.3,28,0.68,0.0001
Micronesia,548914,0.01,5428,784,700,-2957,2.9,27,0.68,0.0001
Maldives,540544,0.0181,9591,1802,300,11370,1.9,30,0.35,0.0001
Malta,441543,0.0027,1171,1380,320,900,1.5,43,0.93,0.0001
Brunei ,437479,0.0097,4194,83,5270,0,1.8,32,0.8,0.0001
Guadeloupe,400124,0.0002,68,237,1690,-1440,2.2,44,N.A.,0.0001
Belize,397628,0.0186,7275,17,22810,1200,2.3,25,0.46,0.0001
Bahamas,393244,0.0097,3762,39,10010,1000,1.8,32,0.86,0.0001
Martinique,375265,-0.0008,-289,354,1060,-960,1.9,47,0.92,0
Iceland,341243,0.0065,2212,3,100250,380,1.8,37,0.94,0
Vanuatu,307145,0.0242,7263,25,12190,120,3.8,21,0.24,0
French Guiana,298682,0.027,7850,4,82200,1200,3.4,25,0.87,0
Barbados,287375,0.0012,350,668,430,-79,1.6,40,0.31,0
New Caledonia,285498,0.0097,2748,16,18280,502,2,34,0.72,0
French Polynesia,280908,0.0058,1621,77,3660,-1000,2,34,0.64,0
Mayotte,272815,0.025,6665,728,375,0,3.7,20,0.46,0
Sao Tome & Principe,219159,0.0191,4103,228,960,-1680,4.4,19,0.74,0
Samoa,198414,0.0067,1317,70,2830,-2803,3.9,22,0.18,0
Saint Lucia,183627,0.0046,837,301,610,0,1.4,34,0.19,0
Channel Islands,173863,0.0093,1604,915,190,1351,1.5,43,0.3,0
Guam,168775,0.0089,1481,313,540,-506,2.3,31,0.95,0
Curaçao,164093,0.0041,669,370,444,515,1.8,42,0.89,0
Kiribati,119449,0.0157,1843,147,810,-800,3.6,23,0.57,0
Grenada,112523,0.0046,520,331,340,-200,2.1,32,0.35,0
St. Vincent & Grenadines,110940,0.0032,351,284,390,-200,1.9,33,0.53,0
Aruba,106766,0.0043,452,593,180,201,1.9,41,0.44,0
Tonga,105695,0.0115,1201,147,720,-800,3.6,22,0.24,0
U.S. Virgin Islands,104425,-0.0015,-153,298,350,-451,2,43,0.96,0
Seychelles,98347,0.0062,608,214,460,-200,2.5,34,0.56,0
Antigua and Barbuda,97929,0.0084,811,223,440,0,2,34,0.26,0
Isle of Man,85033,0.0053,449,149,570,,N.A.,N.A.,0.53,0
Andorra,77265,0.0016,123,164,470,,N.A.,N.A.,0.88,0
Dominica,71986,0.0025,178,96,750,,N.A.,N.A.,0.74,0
Cayman Islands,65722,0.0119,774,274,240,,N.A.,N.A.,0.97,0
Bermuda,62278,-0.0036,-228,1246,50,,N.A.,N.A.,0.97,0
Marshall Islands,59190,0.0068,399,329,180,,N.A.,N.A.,0.7,0
Northern Mariana Islands,57559,0.006,343,125,460,,N.A.,N.A.,0.88,0
Greenland,56770,0.0017,98,0,410450,,N.A.,N.A.,0.87,0
American Samoa,55191,-0.0022,-121,276,200,,N.A.,N.A.,0.88,0
Saint Kitts & Nevis,53199,0.0071,376,205,260,,N.A.,N.A.,0.33,0
Faeroe Islands,48863,0.0038,185,35,1396,,N.A.,N.A.,0.43,0
Sint Maarten,42876,0.0115,488,1261,34,,N.A.,N.A.,0.96,0
Monaco,39242,0.0071,278,26337,1,,N.A.,N.A.,N.A.,0
Turks and Caicos,38717,0.0138,526,41,950,,N.A.,N.A.,0.89,0
Saint Martin,38666,0.0175,664,730,53,,N.A.,N.A.,0,0
Liechtenstein,38128,0.0029,109,238,160,,N.A.,N.A.,0.15,0
San Marino,33931,0.0021,71,566,60,,N.A.,N.A.,0.97,0
Gibraltar,33691,-0.0003,-10,3369,10,,N.A.,N.A.,N.A.,0
British Virgin Islands,30231,0.0067,201,202,150,,N.A.,N.A.,0.52,0
Caribbean Netherlands,26223,0.0094,244,80,328,,N.A.,N.A.,0.75,0
Palau,18094,0.0048,86,39,460,,N.A.,N.A.,N.A.,0
Cook Islands,17564,0.0009,16,73,240,,N.A.,N.A.,0.75,0
Anguilla,15003,0.009,134,167,90,,N.A.,N.A.,N.A.,0
Tuvalu,11792,0.0125,146,393,30,,N.A.,N.A.,0.62,0
Wallis & Futuna,11239,-0.0169,-193,80,140,,N.A.,N.A.,0,0
Nauru,10824,0.0063,68,541,20,,N.A.,N.A.,N.A.,0
Saint Barthelemy,9877,0.003,30,470,21,,N.A.,N.A.,0,0
Saint Helena,6077,0.003,18,16,390,,N.A.,N.A.,0.27,0
Saint Pierre & Miquelon,5794,-0.0048,-28,25,230,,N.A.,N.A.,1,0
Montserrat,4992,0.0006,3,50,100,,N.A.,N.A.,0.1,0
Falkland Islands,3480,0.0305,103,0,12170,,N.A.,N.A.,0.66,0
Niue,1626,0.0068,11,6,260,,N.A.,N.A.,0.46,0
Tokelau,1357,0.0127,17,136,10,,N.A.,N.A.,0,0
Holy See,801,0.0025,2,2003,0,,N.A.,N.A.,N.A.,0
